name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
MAC-10 | Lapis Gator,Operation Wildfire Case,Mil-Spec,10.9,FN,BUFF,,False,Restricted,10.0,131.07750000000001,崭新,13.107750000000001,10.9,2.2077500000000008,0.20254587155963308
Negev | Dazzle,Gamma 2 Case,Mil-Spec,4.77,MW,YOUPIN,,False,Restricted,10.0,69.304,略磨,6.930400000000001,4.77,2.160400000000001,0.4529140461215935
USP-S | Guardian,Operation Phoenix Weapon Case,Restricted,63.4,FN,BUFF,,False,Classified,10.0,655.5933333333334,崭新,65.55933333333334,63.4,2.1593333333333433,0.03405888538380668
P90 | Cocoa Rampage,Operation Broken Fang Case,Mil-Spec,10.99,FN,BUFF,,False,Restricted,10.0,130.804,崭新,13.080400000000001,10.99,2.0904000000000007,0.19020928116469524
Negev | Terrain,Operation Phoenix Weapon Case,Mil-Spec,6.46,FN,C5,,False,Restricted,10.0,81.85,崭新,8.184999999999999,6.46,1.7249999999999988,0.2670278637770896
AUG | Plague,Operation Riptide Case,Mil-Spec,26.98,FN,BUFF,,False,Restricted,10.0,286.83000000000004,崭新,28.683000000000003,26.98,1.703000000000003,0.06312083024462575
Nova | Windblown,Snakebite Case,Mil-Spec,3.0,FN,C5,,False,Restricted,10.0,45.263999999999996,崭新,4.5264,3.0,1.5263999999999998,0.5087999999999999
UMP-45 | Briefing,Gamma 2 Case,Mil-Spec,5.44,FN,BUFF,,False,Restricted,10.0,69.304,崭新,6.930400000000001,5.44,1.4904000000000002,0.27397058823529413
SSG 08 | Big Iron,Shadow Case,Classified,263.5,FN,BUFF,,False,Covert,10.0,2649.25,崭新,264.925,263.5,1.4250000000000114,0.0054079696394687335
Nova | Plume,Shattered Web Case,Mil-Spec,14.0,FN,BUFF,,False,Restricted,10.0,153.79000000000002,崭新,15.379000000000001,14.0,1.3790000000000013,0.0985000000000001
MAG-7 | Heaven Guard,Operation Phoenix Weapon Case,Mil-Spec,6.84,FN,C5,,False,Restricted,10.0,81.85,崭新,8.184999999999999,6.84,1.3449999999999989,0.19663742690058464
PP-Bizon | Lumen,Operation Riptide Case,Mil-Spec,27.39,FN,BUFF,,False,Restricted,10.0,286.83000000000004,崭新,28.683000000000003,27.39,1.2930000000000028,0.04720700985761237
SCAR-20 | Jungle Slipstream,Spectrum 2 Case,Mil-Spec,0.8,WW,BUFF,,False,Restricted,10.0,19.35,破损,1.935,0.8,1.135,1.41875
Negev | Lionfish,Clutch Case,Restricted,12.19,FN,BUFF,,False,Classified,10.0,132.63,崭新,13.263,12.19,1.0730000000000004,0.08802296964725188
UMP-45 | Oscillator,Snakebite Case,Mil-Spec,3.47,FN,BUFF,,False,Restricted,10.0,45.263999999999996,崭新,4.5264,3.47,1.0563999999999996,0.30443804034582117
MAC-10 | Malachite,Chroma Case,Restricted,47.96,FN,BUFF,,False,Classified,10.0,489.73,崭新,48.973,47.96,1.0129999999999981,0.021121768140116723
Negev | Man-o'-war,Chroma 2 Case,Mil-Spec,1.66,MW,BUFF,,False,Restricted,10.0,25.522499999999997,略磨,2.55225,1.66,0.89225,0.5375
AUG | Arctic Wolf,Shattered Web Case,Restricted,63.47,FN,YOUPIN,,False,Classified,10.0,642.5966666666667,崭新,64.25966666666667,63.47,0.7896666666666761,0.012441573446772903
P250 | Contaminant,Operation Broken Fang Case,Mil-Spec,12.5,FN,BUFF,,False,Restricted,10.0,130.804,崭新,13.080400000000001,12.5,0.5804000000000009,0.04643200000000007
CZ75-Auto | Imprint,Gamma 2 Case,Mil-Spec,6.5,FN,BUFF,,False,Restricted,10.0,69.304,崭新,6.930400000000001,6.5,0.43040000000000056,0.0662153846153847
PP-Bizon | Space Cat,Dreams & Nightmares Case,Restricted,11.89,FN,YOUPIN,,False,Classified,10.0,122.29666666666667,崭新,12.229666666666667,11.89,0.3396666666666661,0.028567423605270488
G3SG1 | Keeping Tabs,Operation Riptide Case,Mil-Spec,28.38,FN,BUFF,,False,Restricted,10.0,286.83000000000004,崭新,28.683000000000003,28.38,0.3030000000000044,0.01067653276955618
SSG 08 | Necropos,Operation Wildfire Case,Mil-Spec,12.99,FN,BUFF,,False,Restricted,10.0,131.07750000000001,崭新,13.107750000000001,12.99,0.11775000000000091,0.009064665127020855
MAC-10 | Aloha,Operation Hydra Case,Mil-Spec,50.0,FN,YOUPIN,,False,Restricted,10.0,501.0,崭新,50.1,50.0,0.10000000000000142,0.0020000000000000282
Five-SeveN | Scumbria,Gamma 2 Case,Mil-Spec,6.88,FN,YOUPIN,,False,Restricted,10.0,69.304,崭新,6.930400000000001,6.88,0.050400000000000666,0.007325581395348934
FAMAS | Macabre,Operation Hydra Case,Mil-Spec,50.15,FN,YOUPIN,,False,Restricted,10.0,501.0,崭新,50.1,50.15,-0.04999999999999716,-0.000997008973080701
G3SG1 | High Seas,Horizon Case,Restricted,28.99,FN,YOUPIN,,False,Classified,10.0,288.12333333333333,崭新,28.812333333333335,28.99,-0.17766666666666353,-0.0061285500747383075
SG 553 | Aerial,Gamma Case,Mil-Spec,3.72,FN,BUFF,,False,Restricted,10.0,32.778,崭新,3.2778,3.72,-0.44220000000000015,-0.11887096774193552
P90 | Neoqueen,Revolution Case,Restricted,11.63,FN,C5,,False,Classified,10.0,111.24666666666667,崭新,11.124666666666666,11.63,-0.5053333333333345,-0.04345084551447416
Sawed-Off | Origami,Chroma 2 Case,Mil-Spec,3.28,FN,BUFF,,False,Restricted,10.0,25.522499999999997,崭新,2.55225,3.28,-0.7277499999999999,-0.221875
MP7 | Armor Core,Chroma 2 Case,Mil-Spec,3.33,FN,BUFF,,False,Restricted,10.0,25.522499999999997,崭新,2.55225,3.33,-0.7777500000000002,-0.23355855855855862
PP-Bizon | Jungle Slipstream,Spectrum Case,Mil-Spec,3.76,FN,BUFF,,False,Restricted,10.0,29.494,崭新,2.9494,3.76,-0.8106,-0.21558510638297873
SG 553 | Aloha,Clutch Case,Mil-Spec,2.66,FN,C5,,False,Restricted,10.0,18.166,崭新,1.8166,2.66,-0.8434000000000001,-0.3170676691729324
P250 | Ripple,Spectrum Case,Mil-Spec,3.82,FN,BUFF,,False,Restricted,10.0,29.494,崭新,2.9494,3.82,-0.8706,-0.22790575916230368
SCAR-20 | Poultrygeist,Dreams & Nightmares Case,Mil-Spec,2.41,FN,C5,,False,Restricted,10.0,15.174000000000001,崭新,1.5174,2.41,-0.8926000000000001,-0.3703734439834025
MAG-7 | Foresight,Dreams & Nightmares Case,Mil-Spec,2.44,FN,C5,,False,Restricted,10.0,15.174000000000001,崭新,1.5174,2.44,-0.9225999999999999,-0.3781147540983606
XM1014 | Oxide Blaze,Clutch Case,Mil-Spec,2.74,FN,C5,,False,Restricted,10.0,18.166,崭新,1.8166,2.74,-0.9234000000000002,-0.33700729927007306
Nova | Exo,Gamma Case,Mil-Spec,4.25,FN,BUFF,,False,Restricted,10.0,32.778,崭新,3.2778,4.25,-0.9722,-0.22875294117647058
UMP-45 | Riot,Falchion Case,Mil-Spec,5.4,FN,YOUPIN,,False,Restricted,10.0,44.153999999999996,崭新,4.4154,5.4,-0.9846000000000004,-0.18233333333333338
Five-SeveN | Flame Test,Clutch Case,Mil-Spec,2.85,FN,BUFF,,False,Restricted,10.0,18.166,崭新,1.8166,2.85,-1.0334,-0.3625964912280702
PP-Bizon | Night Riot,Clutch Case,Mil-Spec,2.87,FN,BUFF,,False,Restricted,10.0,18.166,崭新,1.8166,2.87,-1.0534000000000001,-0.3670383275261324
MP9 | Modest Threat,Danger Zone Case,Mil-Spec,2.77,FN,BUFF,,False,Restricted,10.0,16.64,崭新,1.6640000000000001,2.77,-1.1059999999999999,-0.39927797833935014
R8 Revolver | Memento,Shattered Web Case,Mil-Spec,16.5,FN,YOUPIN,,False,Restricted,10.0,153.79000000000002,崭新,15.379000000000001,16.5,-1.1209999999999987,-0.06793939393939386
SCAR-20 | Fragments,Revolution Case,Mil-Spec,2.81,FN,YOUPIN,,False,Restricted,10.0,16.686,崭新,1.6686,2.81,-1.1414,-0.40619217081850534
MAG-7 | Sonar,Glove Case,Mil-Spec,9.79,FN,BUFF,,False,Restricted,10.0,86.34,崭新,8.634,9.79,-1.1559999999999988,-0.1180796731358528
MP9 | Sand Scale,Glove Case,Mil-Spec,9.81,FN,YOUPIN,,False,Restricted,10.0,86.34,崭新,8.634,9.81,-1.1760000000000002,-0.11987767584097861
G3SG1 | Digital Mesh,Operation Broken Fang Case,Mil-Spec,14.27,FN,BUFF,,False,Restricted,10.0,130.804,崭新,13.080400000000001,14.27,-1.1895999999999987,-0.083363700070077
CZ75-Auto | Polymer,Glove Case,Mil-Spec,9.89,FN,BUFF,,False,Restricted,10.0,86.34,崭新,8.634,9.89,-1.2560000000000002,-0.12699696663296262
SCAR-20 | Assault,CS20 Case,Mil-Spec,3.32,FN,BUFF,,False,Restricted,10.0,19.8,崭新,1.98,3.32,-1.3399999999999999,-0.40361445783132527
FAMAS | Eye of Athena,Horizon Case,Classified,171.47,FN,C5,,False,Covert,10.0,1700.25,崭新,170.025,171.47,-1.4449999999999932,-0.008427130110223323
SG 553 | Heavy Metal,Snakebite Case,Mil-Spec,6.0,FN,C5,,False,Restricted,10.0,45.263999999999996,崭新,4.5264,6.0,-1.4736000000000002,-0.24560000000000004
Dual Berettas | Elite 1.6,CS20 Case,Mil-Spec,3.47,FN,BUFF,,False,Restricted,10.0,19.8,崭新,1.98,3.47,-1.4900000000000002,-0.4293948126801153
