name,exterior,price
PP-Bizon | Osiris,FN,23.0
PP-Bizon | Runic,FN,4.95
PP-Bizon | Space Cat,FN,11.9
PP-Bizon | Water Sigil,FN,21.9
R8 Revolver | Banana Cannon,FN,23.19
R8 Revolver | Bone Forged,FN,2.77
R8 Revolver | Crazy 8,FN,23.3
R8 Revolver | Crimson Web,FN,39.95
R8 Revolver | Fade,FN,547.9
R8 Revolver | Llama Cannon,FN,225.0
R8 Revolver | Memento,FN,16.5
R8 Revolver | Reboot,FN,39.8
R8 Revolver | Skull Crusher,FT,53.68
R8 Revolver | Survivalist,FN,5.0
SCAR-20 | Assault,FN,3.35
SCAR-20 | Blueprint,FN,4.9
SCAR-20 | Cyrex,FN,438.0
SCAR-20 | Enforcer,FN,23.0
SCAR-20 | Fragments,FN,2.92
SCAR-20 | Green Marine,FN,7.18
SCAR-20 | Grotto,FN,6.01
SCAR-20 | Jungle Slipstream,FN,3.03
SCAR-20 | Outbreak,FN,5.27
SCAR-20 | Poultrygeist,FN,2.5
SCAR-20 | Torn,FN,11.59
SG 553 | Aerial,FN,3.98
SG 553 | Atlas,FN,5.68
SG 553 | Cyrex,FN,176.9
SG 553 | Danger Close,FN,3.94
SG 553 | Darkwing,FN,23.6
SG 553 | Dragon Tech,FN,12.39
SG 553 | Heavy Metal,FN,6.01
SG 553 | Ol' Rusty,FN,2.42
SG 553 | Phantom,FN,19.99
SG 553 | Tiger Moth,FN,40.0
SG 553 | Ultraviolet,FN,357.9
SSG 08 | Abyss,FN,25.56
SSG 08 | Big Iron,FN,268.78
SSG 08 | Dark Water,MW,21.89
SSG 08 | Death's Head,FN,315.38
SSG 08 | Dragonfire,FN,4318.0
SSG 08 | Fever Dream,FN,23.0
SSG 08 | Ghost Crusader,FN,217.49
SSG 08 | Parallax,FN,117.09
SSG 08 | Slashed,FT,9.44
SSG 08 | Turbo Peek,FN,529.4
Sawed-Off | Apocalypto,FN,25.8
Sawed-Off | Black Sand,FN,4.76
Sawed-Off | Devourer,FN,172.5
Sawed-Off | Fubar,WW,9.52
Sawed-Off | Kiss♥Love,FN,104.5
Sawed-Off | Limelight,FN,40.0
Sawed-Off | Morris,FN,5.1
