name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
M249 | System Lock,Chroma Case,Mil-Spec,6.98,FN,BUFF,,False,Restricted,10.0,67.465,崭新,5.734525,6.98,-1.2454750000000008,-0.17843481375358175
P90 | Off World,Prisma Case,Mil-Spec,4.99,FN,YOUPIN,,False,Restricted,10.0,43.98199999999999,崭新,3.7384699999999995,4.99,-1.2515300000000007,-0.2508076152304611
SCAR-20 | Jungle Slipstream,Spectrum 2 Case,Mil-Spec,3.03,FN,BUFF,,False,Restricted,10.0,20.15,崭新,1.7127499999999998,3.03,-1.31725,-0.43473597359735977
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,3.79,FN,YOUPIN,,False,Restricted,10.0,29.020000000000003,崭新,2.4667000000000003,3.79,-1.3232999999999997,-0.3491556728232189
PP-Bizon | Space Cat,Dreams & Nightmares Case,Restricted,11.9,FN,BUFF,,False,Classified,10.0,124.12666666666667,崭新,10.550766666666666,11.9,-1.3492333333333342,-0.11338095238095244
MP9 | Modest Threat,Danger Zone Case,Mil-Spec,2.91,FN,BUFF,,False,Restricted,10.0,17.868000000000002,崭新,1.51878,2.91,-1.3912200000000001,-0.47808247422680417
SCAR-20 | Fragments,Revolution Case,Mil-Spec,2.92,FN,C5,,False,Restricted,10.0,17.7775,崭新,1.5110875,2.92,-1.4089125,-0.4825042808219178
SSG 08 | Parallax,Operation Broken Fang Case,Restricted,117.09,FN,C5,,False,Classified,10.0,1360.3333333333333,崭新,115.62833333333333,117.09,-1.461666666666673,-0.012483274973667035
MAC-10 | Oceanic,Spectrum 2 Case,Mil-Spec,3.23,FN,BUFF,,False,Restricted,10.0,20.15,崭新,1.7127499999999998,3.23,-1.5172500000000002,-0.46973684210526323
MP7 | Armor Core,Chroma 2 Case,Mil-Spec,3.79,FN,C5,,False,Restricted,10.0,26.5675,崭新,2.2582375,3.79,-1.5317625000000001,-0.4041589709762533
Galil AR | Akoben,Prisma Case,Mil-Spec,5.37,FN,BUFF,,False,Restricted,10.0,43.98199999999999,崭新,3.7384699999999995,5.37,-1.6315300000000006,-0.30382309124767237
Desert Eagle | Corinthian,Revolver Case,Mil-Spec,7.32,FN,C5,,False,Restricted,10.0,66.14999999999999,崭新,5.622749999999999,7.32,-1.6972500000000013,-0.23186475409836083
SCAR-20 | Green Marine,Shadow Case,Mil-Spec,7.18,FN,BUFF,,False,Restricted,10.0,64.44749999999999,崭新,5.478037499999999,7.18,-1.7019625000000005,-0.23704213091922013
SCAR-20 | Assault,CS20 Case,Mil-Spec,3.35,FN,BUFF,,False,Restricted,10.0,19.291999999999998,崭新,1.6398199999999998,3.35,-1.7101800000000003,-0.5105014925373135
UMP-45 | Riot,Falchion Case,Mil-Spec,5.7,FN,YOUPIN,,False,Restricted,10.0,45.314,崭新,3.85169,5.7,-1.8483100000000001,-0.32426491228070176
SSG 08 | Slashed,Huntsman Weapon Case,Mil-Spec,9.44,FT,BUFF,,False,Restricted,10.0,88.30333333333333,久经,7.505783333333332,9.44,-1.9342166666666678,-0.20489583333333347
FAMAS | Survivor Z,Shadow Case,Mil-Spec,7.42,FN,YOUPIN,,False,Restricted,10.0,64.44749999999999,崭新,5.478037499999999,7.42,-1.9419625000000007,-0.26172001347708906
R8 Revolver | Survivalist,Horizon Case,Mil-Spec,5.0,FN,BUFF,,False,Restricted,10.0,35.39399999999999,崭新,3.008489999999999,5.0,-1.9915100000000008,-0.39830200000000016
Desert Eagle | Bronze Deco,Chroma 2 Case,Mil-Spec,4.45,FN,BUFF,,False,Restricted,10.0,26.5675,崭新,2.2582375,4.45,-2.1917625000000003,-0.49253089887640455
Glock-18 | Catacombs,Chroma Case,Mil-Spec,8.0,FN,BUFF,,False,Restricted,10.0,67.465,崭新,5.734525,8.0,-2.2654750000000003,-0.28318437500000004
Dual Berettas | Elite 1.6,CS20 Case,Mil-Spec,3.91,FN,C5,,False,Restricted,10.0,19.291999999999998,崭新,1.6398199999999998,3.91,-2.2701800000000003,-0.580608695652174
Tec-9 | Flash Out,CS20 Case,Mil-Spec,3.95,FN,BUFF,,False,Restricted,10.0,19.291999999999998,崭新,1.6398199999999998,3.95,-2.3101800000000003,-0.5848556962025317
XM1014 | Black Tie,Chroma 3 Case,Restricted,23.8,FN,BUFF,,False,Classified,10.0,252.56333333333336,崭新,21.467883333333337,23.8,-2.332116666666664,-0.09798809523809512
Nova | Wood Fired,Danger Zone Case,Mil-Spec,3.87,FN,YOUPIN,,False,Restricted,10.0,17.868000000000002,崭新,1.51878,3.87,-2.35122,-0.6075503875968993
SG 553 | Danger Close,Danger Zone Case,Mil-Spec,3.94,FN,BUFF,,False,Restricted,10.0,17.868000000000002,崭新,1.51878,3.94,-2.42122,-0.6145228426395939
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,4.89,FN,YOUPIN,,False,Restricted,10.0,29.020000000000003,崭新,2.4667000000000003,4.89,-2.4232999999999993,-0.495562372188139
MP9 | Sand Scale,Glove Case,Mil-Spec,9.97,FN,BUFF,,False,Restricted,10.0,88.03399999999999,崭新,7.482889999999999,9.97,-2.4871100000000013,-0.24945937813440333
MAG-7 | Popdog,CS20 Case,Mil-Spec,4.35,FN,BUFF,,False,Restricted,10.0,19.291999999999998,崭新,1.6398199999999998,4.35,-2.71018,-0.6230298850574713
Tec-9 | Ice Cap,Gamma Case,Mil-Spec,5.52,FN,BUFF,,False,Restricted,10.0,33.04,崭新,2.8084,5.52,-2.7116,-0.491231884057971
Sawed-Off | Serenity,Chroma Case,Restricted,44.0,FN,YOUPIN,,False,Classified,10.0,485.5,崭新,41.2675,44.0,-2.7325000000000017,-0.06210227272727276
MAG-7 | Sonar,Glove Case,Mil-Spec,10.3,FN,YOUPIN,,False,Restricted,10.0,88.03399999999999,崭新,7.482889999999999,10.3,-2.8171100000000013,-0.27350582524271855
MAG-7 | Insomnia,Revolution Case,Mil-Spec,4.36,FN,C5,,False,Restricted,10.0,17.7775,崭新,1.5110875,4.36,-2.8489125000000004,-0.6534202981651377
MP9 | Featherweight,Revolution Case,Mil-Spec,4.44,FN,C5,,False,Restricted,10.0,17.7775,崭新,1.5110875,4.44,-2.9289125000000005,-0.6596649774774775
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,5.41,FN,C5,,False,Restricted,10.0,29.020000000000003,崭新,2.4667000000000003,5.41,-2.9433,-0.5440480591497227
MP9 | Capillary,Horizon Case,Mil-Spec,6.0,FN,C5,,False,Restricted,10.0,35.39399999999999,崭新,3.008489999999999,6.0,-2.991510000000001,-0.4985850000000001
FAMAS | Meow 36,Recoil Case,Mil-Spec,4.44,FN,BUFF,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,4.44,-3.0308700000000006,-0.6826283783783784
