name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,1.15,BS,BUFF,,False,Restricted,10.0,,破损,,1.15,,
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,4.49,FN,BUFF,,False,Restricted,10.0,,破损,,4.49,,
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,1.62,FT,C5,,False,Restricted,10.0,,破损,,1.62,,
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,1.6,MW,BUFF,,False,Restricted,10.0,,破损,,1.6,,
AUG | Tom Cat,Prisma 2 Case,Mil-Spec,1.05,WW,BUFF,,False,Restricted,10.0,,破损,,1.05,,
AWP | Capillary,Prisma 2 Case,Mil-Spec,40.8,FN,BUFF,,False,Restricted,10.0,,崭新,,40.8,,
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,0.76,BS,BUFF,,False,Restricted,10.0,,战痕,,0.76,,
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,8.0,FN,BUFF,,False,Restricted,10.0,,战痕,,8.0,,
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,1.52,FT,YOUPIN,,False,Restricted,10.0,,战痕,,1.52,,
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,1.66,MW,BUFF,,False,Restricted,10.0,,战痕,,1.66,,
CZ75-Auto | Distressed,Prisma 2 Case,Mil-Spec,0.82,WW,BUFF,,False,Restricted,10.0,,战痕,,0.82,,
CZ75-Auto | Eco,Horizon Case,Restricted,5.87,BS,BUFF,,False,Classified,10.0,,破损,,5.87,,
CZ75-Auto | Eco,Horizon Case,Restricted,97.0,FN,YOUPIN,,False,Classified,10.0,,破损,,97.0,,
CZ75-Auto | Eco,Horizon Case,Restricted,5.93,FT,YOUPIN,,False,Classified,10.0,,破损,,5.93,,
CZ75-Auto | Eco,Horizon Case,Restricted,17.48,MW,YOUPIN,,False,Classified,10.0,,破损,,17.48,,
CZ75-Auto | Eco,Horizon Case,Restricted,5.5,WW,BUFF,,False,Classified,10.0,,破损,,5.5,,
Desert Eagle | Blue Ply,Prisma 2 Case,Mil-Spec,2.0,BS,BUFF,,False,Restricted,10.0,,战痕,,2.0,,
Desert Eagle | Blue Ply,Prisma 2 Case,Mil-Spec,21.0,FN,BUFF,,False,Restricted,10.0,,战痕,,21.0,,
Desert Eagle | Blue Ply,Prisma 2 Case,Mil-Spec,2.6,FT,BUFF,,False,Restricted,10.0,,战痕,,2.6,,
Desert Eagle | Blue Ply,Prisma 2 Case,Mil-Spec,3.99,MW,YOUPIN,,False,Restricted,10.0,,战痕,,3.99,,
Desert Eagle | Blue Ply,Prisma 2 Case,Mil-Spec,2.19,WW,YOUPIN,,False,Restricted,10.0,,战痕,,2.19,,
Desert Eagle | Conspiracy,Operation Breakout Weapon Case,Classified,143.5,FN,YOUPIN,,False,Covert,10.0,,略磨,,143.5,,
Desert Eagle | Conspiracy,Operation Breakout Weapon Case,Classified,134.5,MW,BUFF,,False,Covert,10.0,,略磨,,134.5,,
Dual Berettas | Tread,Operation Riptide Case,Mil-Spec,4.07,BS,BUFF,,False,Restricted,10.0,,战痕,,4.07,,
Dual Berettas | Tread,Operation Riptide Case,Mil-Spec,36.2,FN,YOUPIN,,False,Restricted,10.0,,战痕,,36.2,,
Dual Berettas | Tread,Operation Riptide Case,Mil-Spec,5.8,FT,BUFF,,False,Restricted,10.0,,战痕,,5.8,,
Dual Berettas | Tread,Operation Riptide Case,Mil-Spec,12.74,MW,BUFF,,False,Restricted,10.0,,战痕,,12.74,,
Dual Berettas | Tread,Operation Riptide Case,Mil-Spec,4.55,WW,BUFF,,False,Restricted,10.0,,战痕,,4.55,,
FAMAS | Hexane,CSGO Weapon Case 2,Mil-Spec,29.02,FN,BUFF,,False,Restricted,10.0,,久经,,29.02,,
